Question,Answer,ID
"This controversial Wii U titled was released in 2015, and was criticized for requiring amiibo in order to play.",Animal Crossing: Amiibo Festival,120001
This seagull washes up on beaches and will sometimes reference other Nintendo characters.,Gulliver,120002
What year did Animal Crossing: City Folk release?,"""2008""",120003
"Prior to New Leaf, who is the mayor in Animal Crossing?",Tortimer,120004
"What year was Mother 1, AKA EarthBound Beginnings, released in the West","""2015""",120005
"EarthBound Beginnings is an NES game, however what console was it first playable on in the west?",Wii U,120006
What is the name of Lucas' father in Mother 3?,Flint,120007
How many Sanctuary Guardians are there?,8,120008
What type of letters determine the power level of a PK spell,Greek letters,120009
Name the latest F-Zero game,F-Zero 99,120010
What year did the original F-Zero release in Japan?,"""1990""",120011
How many playable machines are in the original F-Zero for the SNES?,4,120012
What is the machine with the highest top speed called in F-Zero on the SNES?,Fire Stingray,120013
What year was the first Fire Emblem game released in Japan,"""1990""",120014
What was the first fire emblem game to introduce Third Tier classes,Gaiden,120015
What Fire Emblem game first introduced class branches?,Fire Emblem: Sacred Stones,120016
What Fire Emblem game first introduced child units?,Fire Emblem: Genology of the Holy War,120017
"In the first Fire Emblem game, What did the pegasus knight promote into?",Wyvern/Draco Knight,120018
Fire Emblem's first game in the west released on GBA. What is this game called in Japan,Fire Emblem: The Blazing Blade,120019
Who was the first Male Pegasus rider?,Tsubaki,120020
In Three Houses what do a majority of nobles have that were given at birth?,Crests,120021
What was the first game to introduce Casual mode?,Fire Emblem: New Mystery of the Emblem,120022
Who was the first Fire Emblem Lord to NOT wield a sword as their primary weapon.,Hector (Axe),120023
What is the name of the horse that Marianne talks to and use in FE Three Houses and Three Hopes,Dorte,120024
What as the name of Ike's starting weapon when he becomes playable in Radiant Dawn,Ettard,120025
What does Pit say when you get a game over,I'm Finished,120026
What was the two team multiplayer game mode called?,Light VS Dark,120027
Who is the Goddess of Nature in Kid Icarus,Viridi,120028
What is the name of the first weapon Pit recieves in Kid Icarus Uprising?,The First Blade,120029
Where did Kirby get his name from?,A Lawyer from the Donkey Kong Court Case,120030
What color was Kirby on the North American box art for Kirby's Dream Land?,Grey,120031
What was the first mainline Kirby game that let you control the character in 3D?,Kirby and the Forgotten Land,120032
What's the first Kirby game to feature the copy ability?,Kirby's Adventure,120033
Name of the Kirby anime released in 2002?,Kirby: Right Back at Ya!,120034
What is the first mainline Kirby game with multiplayer?,Kirby Superstar,120035
Who is the creator of Kirby?,Masahiro Sakurai,120036
What year did the first Kirby game come out?,1992,120037
"In Kirby and the Forgotten Land, what item do you receive at the end of Treasure Road stages?",Rare Stones,120038
"In Kirby Superstars, what gamemode do you race against King Dedede",Gourment Race,120039
"In Kirby Super Star and Super Star Saga, what does Meta Knight give you before you fight him?",Sword,120040
What was the first Kirby game to introduce copy abilities,Kirby's Adventure,120041
"In Kirby's Return to Dreamland Deluxe, what does the mecha copy ability allow kirby to do?",Shoot lasers,120042
Who is the main antagonist in Kirby's Epic Yarn?,Yin-Yarn,120043
Where does Kirby's Epic Yarn primarily take place?,Patch Land,120044
What was the first Kirby game to introduce copy abilities,Kirby's Adventure,120045
Samus was raised by what tribe?,Chozo's,120046
"This controversial 3DS titled was released in 2016, and was panned for being a spinoff that played nothing like previous Metroid games.",Metroid Prime: Federation Force,120047
What 3D Metroid game can only be controlled with the d-pad,Metroid: Other M,120048
What power up lets Samus turn into a ball? ,Morph Ball,120049
What is Dark Samus made of in the Metroid Prime Trilogy?,Phazon,120050
Who is the current CEO of Nintendo of America?,Doug Bowser,120051
Who composed the original Super Mario Bros. theme?,Koji Kondo,120052
What did Reggie Fil-Aime say when stepping onto the Wii Fit Balance Board at E3 2007,"""My Body is Ready""",120053
Who is the director of the Legend of Zelda franchise?,Eiji Aonuma,120054
"While in development, what was the codename for the Nintendo Gamecube?",Project Dolphin,120055
What was the first Nintendo Home Console to release same day WorldWide,Nintendo Switch,120056
"Which Nintendo Console was the first to introduce ""X & Y"" buttons",Super Nintendo,120057
What kind of batteries does the Wii Balance Board require?,AA,120058
In Nintendogs what is the name of the mode that allows players to communicate with other players via the Nintendo DS's wireless communications.,Bark mode,120059
What is the name of the contest that uses the DS's built in microphone?,Obedience Trial,120060
What is the name of Olimar's ship?,S.S Dolphin,120061
What is the yellow dog's name in Pikmin 4?,Oatchi,120062
What is the Pikmin strength of the 1 purple Pikmin equivlent to?,10 Pikmin,120063
What are white Pikmin immune to?,Poison,120064
What are Rock Pikmin Immune to?,Being Crushed,120065
Name the 3 playable characters in Pikmin 3,"Alph, Brittany, and Charlie",120066
Which Pikmin game has Bingo Battle included as a side mode?,Pikmin 3,120067
How many Pokemon are there? (As of today),"""1025""",120068
This Pokemon spinoff series is the only Pokemon game to have a dual release on both GBA and Nintendo DS. Name the series.,Pokemon Mystery Dungeon,120069
"The Pokemon games ""Diamond/Pearl/Platinum"" take place in what region?",Sinnoh,120070
What was the first Pokemon game released on a home console?,Pokemon Stadium,120071
What games introduced Mega Evolution to the franchise?,X/Y,120072
What were the last games that featured the game corner?,Pokemon Diamond/Pearl/Platinum,120073
What is the first mythical pokemon that was able to leave an egg at the Daycare?,Manaphy,120074
"In Pokemon Yellow, your starter is a Pikachu, what Pokemon does your rival get as a starter?",Eevee,120075
This facility in Black/White 2 allows you to participate in a tournament which features prominent trainers from previous Pokemon games.,Pokemon World Tournament,120076
What game did the character Looker first debut in?,Pokemon Platinum,120077
Name a Grass/Electric type Pokemon,Rotom-Mow/Hisuian Voltorb/Electrode,120078
"What system was the first Rhythm Heaven, (Rhythm Tengoku) game released on?",GBA,120079
What year was Rhythm Heaven released on for the Nintendo DS?,2008,120080
"Kazuyoshi Osawa, also developed what Nintendo series?",WarioWare,120081
How many remixes are there in Rhythm Heaven Fever?,10,120082
What is the first minigame you play in Rhythm Heaven Fever?,Hole in One,120083
Who was the first third party character revealed for Super Smash Bros Brawl,Snake,120084
Who was the first DLC character revealed for Smash Ultimate,Pirahna Plant,120085
Who is the hidden final boss in Super Smash Bros. Melee's Adventure Mode?,Giga Bowser,120086
"The song ""Lifelight"" is featured as the main theme of which Smash game?",Ultimate,120087
Who was the first female character in a Smash Bros game?,Samus,120088
Name a Smash Bros game that you can not use a Gamecube controller on,Super Smash Bros/Smash for 3DS,120089
What are the names of the orange collectables found in Salmon Run and the Singleplayer mode?,Power Eggs,120090
