Question,Answer,ID
"In Animal Crossing: New Leaf, who character is the assistant to the player?",Isabelle,110001
What is the currency used in Animal Crossing?,Bells,110002
What year was Animal Crossing: New Horizons released?,"""2020""",110003
What is the name of the Animal Crossing Mobile Game released in 2017?,Animal Crossing: Pocket Camp,110004
What console was Mother 1 first released on Japan?,NES/Famicon,110005
Who is the main protagonist of Mother 3?,Lucas,110006
What enemy is on the US box art for EarthBound?,Starman,110007
What is the name of Ness' hometown?,Onett,110008
What is the game EarthBound called in Japan,Mother 2,110009
"In EarthBound, what does the photographer tell you to say when taking your picture?",Fuzzy Pickles,110010
In F-Zero X what do you unlock after completeing the first lap?,Boost Power,110011
What is the name of Captain Falcon's vehicle?,Blue Falcon,110012
What console did the first F-Zero game release on?,SNES,110013
Who is Ike's nemesis and rival in the Path of Radiance and Radiant dawn,The Black Knight,110014
What's the name of Marth's Sword?,Falchion,110015
What was the name of the crossover with Atlus' Shin Megami Tensei series?,Tokyo Mirage Session #FE,110016
Who were the 4 House leaders in Fire Emblem Three houses?,"Dimitri, Edelguard,Claude, Yuri",110017
"What Fire Emblem Character says ""time to tip the scales""",Robin,110018
What character appears in almost every single Fire Emblem game ?,Anna,110019
What is Alear's Title?,Divine One or Divine Dragon,110020
Fire Emblem: Shadows of Valentia is a remake of what 1992 Fire Emblem game?,Fire Emblem Gaiden,110021
How many Fire Emblem Warriors games have been released,2,110022
"This character is reffered to as the ""Goddess of Light""?",Palutena,110023
What kind of Mythology does the Kid Icarus franchise take inspiration from?,Greek/Roman,110024
Who gives Pit his ability to Fly?,Palutena,110025
Who is the main antagonist of the first Kid Icarus game?,Medusa,110026
Who is the protagonist of the Kid Icarus series?,Pit,110027
Kirby's Air Ride was originally released for what console?,Gamecube,110028
Who was Kirby's first main antagonist in the series?,King Dedede,110029
Who are the four playable characters in Kirby's Return to Dreamland?,"Kirby, King Dedede, Meta Knight, and Bandana Dee",110030
Who are the four playable characters in Kirby's Return to Dreamland?,"Kirby, King Dedede, Meta Knight, and Bandana Dee",110031
The second Metroid game was originally released on what system?,Gameboy,110032
What is the name of the suit that Samus wears when her regular armor is destroyed/not working?,Zero Suit,110033
Who is Samus' long time nemesis?,Ridley,110034
What is Samus' occupation?,Bounty Hunter,110035
What is the name of the third mainline Metroid game?,Super Metroid,110036
What was the first mainline 3D Metroid game?,Metroid Prime,110037
